"technology_node","lot_id","wafer_id","etch_rate","deposition_rate","critical_dimension","oxide_thickness","yield","er_flag","dr_flag","cd_flag","ot_flag"
"14nm",LOT_0039,W025,3.56,1.78,26.14,56.41,0.22,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0005,W014,3.51,2.05,30.76,56.27,0.22,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0025,W013,3.61,2.08,29.62,65.01,0.22,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0004,W012,3.54,1.99,28.36,61.05,0.22,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0039,W009,3.84,1.76,26.08,62.68,0.22,WARNING,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0014,W013,3.78,2.15,25.82,59.57,0.23,IN_CONTROL,WARNING,IN_CONTROL,IN_CONTROL
"14nm",LOT_0043,W001,3.79,1.96,29.88,55.43,0.23,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0043,W011,3.85,1.71,27.34,57.20,0.23,WARNING,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0014,W008,3.38,2.07,26.40,61.74,0.23,WARNING,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0043,W015,3.75,1.81,26.69,60.67,0.23,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0005,W024,3.41,1.83,26.27,59.58,0.23,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0025,W022,3.62,2.05,27.18,53.00,0.23,IN_CONTROL,IN_CONTROL,IN_CONTROL,WARNING
"14nm",LOT_0009,W022,3.50,1.99,30.07,61.34,0.23,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0009,W021,3.59,1.79,28.38,65.85,0.23,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0005,W006,3.51,2.10,28.82,59.63,0.24,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0004,W004,3.52,1.88,27.59,57.37,0.24,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0014,W001,3.59,2.12,26.66,58.43,0.24,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0014,W025,3.46,2.04,26.41,67.38,0.24,IN_CONTROL,IN_CONTROL,IN_CONTROL,WARNING
"14nm",LOT_0029,W016,3.55,1.92,25.12,59.39,0.24,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0021,W008,3.64,2.03,27.62,62.26,0.24,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0014,W003,3.53,1.86,26.74,65.49,0.25,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0039,W004,3.84,1.89,25.04,62.90,0.25,WARNING,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0014,W010,3.59,1.94,27.61,60.66,0.25,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0039,W007,3.63,1.93,31.33,63.78,0.25,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0039,W010,3.64,1.76,29.39,62.99,0.25,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0043,W023,3.52,1.98,30.74,65.37,0.25,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0009,W018,3.58,1.84,25.36,53.63,0.25,IN_CONTROL,IN_CONTROL,IN_CONTROL,WARNING
"14nm",LOT_0025,W024,3.52,2.00,26.74,59.08,0.25,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0025,W006,3.56,1.81,31.10,54.99,0.25,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0039,W020,3.70,1.78,26.41,66.14,0.25,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0039,W006,3.68,1.81,28.90,61.26,0.25,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0013,W024,3.57,2.02,24.53,65.70,0.25,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0014,W006,3.53,2.00,29.33,56.92,0.25,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0004,W003,3.44,1.86,30.07,59.42,0.26,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0004,W011,3.47,1.94,24.96,63.73,0.26,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0029,W015,3.71,1.97,26.45,60.37,0.26,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0005,W022,3.54,1.93,26.34,58.01,0.26,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0025,W009,3.72,2.05,28.08,56.39,0.26,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0009,W001,3.45,1.97,26.45,61.14,0.26,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0025,W002,3.52,2.02,25.89,61.48,0.26,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0005,W011,3.50,1.91,28.01,59.43,0.26,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0014,W019,3.58,1.98,28.58,62.22,0.27,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0009,W003,3.70,2.00,25.90,64.09,0.27,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0029,W006,3.71,1.76,29.94,66.36,0.27,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0013,W018,3.53,1.83,29.32,58.66,0.27,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0004,W008,3.59,1.94,26.66,65.62,0.27,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0013,W009,3.57,1.90,30.19,62.60,0.27,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0013,W020,3.64,1.86,28.07,62.73,0.28,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0029,W018,3.59,1.72,26.24,59.76,0.28,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0004,W023,3.70,1.89,27.66,56.68,0.28,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0005,W015,3.49,2.15,29.84,59.62,0.28,IN_CONTROL,WARNING,IN_CONTROL,IN_CONTROL
"14nm",LOT_0013,W022,3.64,1.83,27.99,62.93,0.28,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0004,W014,3.55,2.06,31.42,59.69,0.28,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0043,W024,3.76,1.93,27.48,64.45,0.28,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0043,W025,3.84,1.73,29.58,63.65,0.28,WARNING,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0043,W004,3.62,1.79,28.66,55.58,0.28,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0004,W016,3.69,1.92,27.93,58.71,0.28,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0029,W012,3.54,2.01,27.14,64.28,0.28,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0021,W005,3.60,2.08,28.45,54.84,0.28,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0005,W016,3.49,2.09,28.22,63.16,0.28,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0025,W008,3.55,1.82,28.69,58.06,0.29,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0013,W017,3.52,1.91,31.76,61.56,0.29,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0043,W012,3.73,1.84,27.46,58.05,0.29,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0039,W005,3.60,1.70,26.63,60.89,0.29,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0025,W025,3.57,1.89,28.54,60.82,0.29,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0021,W016,3.36,1.88,27.14,56.66,0.29,WARNING,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0004,W015,3.54,1.91,32.21,56.66,0.29,IN_CONTROL,IN_CONTROL,WARNING,IN_CONTROL
"14nm",LOT_0013,W011,3.62,1.83,28.46,56.60,0.29,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0013,W007,3.55,1.91,26.83,55.10,0.30,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0004,W025,3.52,1.74,28.83,64.48,0.30,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0009,W013,3.51,1.81,28.98,59.97,0.30,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0029,W023,3.66,1.86,27.12,60.30,0.30,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0009,W006,3.60,1.85,28.56,63.05,0.30,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0039,W013,3.68,1.96,28.74,61.66,0.30,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0039,W022,3.76,1.94,25.69,58.95,0.30,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0004,W013,3.67,1.97,27.13,62.25,0.30,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0021,W001,3.57,1.85,30.11,63.07,0.31,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0043,W009,3.75,1.76,26.87,56.01,0.31,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0043,W013,3.72,1.80,24.76,61.03,0.31,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0025,W019,3.68,1.87,29.32,57.93,0.31,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0025,W021,3.68,1.94,29.52,62.50,0.31,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0014,W016,3.63,2.05,26.90,59.05,0.31,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0029,W005,3.66,1.98,28.20,60.43,0.31,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0021,W018,3.57,1.83,32.00,56.84,0.31,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0025,W014,3.71,1.90,26.30,61.50,0.31,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0014,W024,3.60,2.03,27.13,61.33,0.32,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0014,W022,3.70,2.06,27.09,62.67,0.32,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0009,W010,3.49,1.91,26.82,64.25,0.32,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0021,W019,3.48,2.06,30.06,63.87,0.32,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0029,W001,3.60,2.06,28.68,58.92,0.32,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0005,W002,3.55,2.01,27.62,58.35,0.32,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0014,W015,3.57,1.87,27.45,61.45,0.32,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0005,W020,3.57,2.13,28.75,62.43,0.32,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0013,W005,3.60,1.84,26.86,57.61,0.32,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0005,W019,3.59,2.04,27.23,62.09,0.33,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0009,W017,3.55,1.98,30.85,59.72,0.33,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0009,W014,3.50,2.05,27.39,62.20,0.33,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0005,W010,3.39,1.93,28.79,64.24,0.33,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0039,W021,3.61,1.78,26.11,60.25,0.33,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0039,W014,3.76,1.80,27.95,57.90,0.33,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0004,W019,3.56,2.04,33.36,58.54,0.33,IN_CONTROL,IN_CONTROL,WARNING,IN_CONTROL
"14nm",LOT_0021,W023,3.55,2.15,28.78,60.41,0.33,IN_CONTROL,WARNING,IN_CONTROL,IN_CONTROL
"14nm",LOT_0029,W020,3.46,1.93,26.85,59.55,0.34,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0009,W015,3.55,1.93,29.12,65.57,0.34,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0043,W018,3.80,1.73,27.91,55.43,0.34,WARNING,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0009,W002,3.57,2.01,29.18,59.75,0.34,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0005,W021,3.44,1.94,26.90,60.48,0.34,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0025,W023,3.61,1.80,33.89,60.75,0.34,IN_CONTROL,IN_CONTROL,WARNING,IN_CONTROL
"14nm",LOT_0013,W014,3.49,2.00,24.12,62.67,0.34,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0004,W010,3.44,2.04,27.41,60.51,0.34,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0009,W005,3.47,1.69,25.19,57.05,0.34,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0021,W006,3.51,1.94,23.04,53.87,0.34,IN_CONTROL,IN_CONTROL,WARNING,WARNING
"14nm",LOT_0013,W002,3.41,1.83,28.51,57.31,0.34,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0039,W011,3.63,1.83,28.55,62.88,0.35,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0009,W024,3.43,2.05,29.53,61.53,0.35,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0025,W012,3.63,1.92,30.77,63.49,0.35,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0004,W017,3.40,1.96,28.21,53.51,0.35,IN_CONTROL,IN_CONTROL,IN_CONTROL,WARNING
"14nm",LOT_0025,W007,3.64,1.99,28.62,60.40,0.35,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0009,W008,3.56,2.04,26.17,58.27,0.35,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0021,W024,3.61,1.76,27.46,63.70,0.35,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0014,W002,3.57,1.92,28.66,61.09,0.35,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0025,W011,3.63,1.87,29.68,59.70,0.35,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0025,W018,3.65,1.79,30.20,56.68,0.35,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0004,W007,3.44,1.97,30.32,57.69,0.35,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0043,W014,3.76,1.57,30.03,60.80,0.36,IN_CONTROL,WARNING,IN_CONTROL,IN_CONTROL
"14nm",LOT_0009,W016,3.63,1.90,27.83,64.53,0.36,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0029,W019,3.56,1.94,27.41,62.70,0.36,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0029,W004,3.55,1.94,29.49,60.21,0.36,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0009,W007,3.58,1.80,33.63,59.69,0.36,IN_CONTROL,IN_CONTROL,WARNING,IN_CONTROL
"14nm",LOT_0021,W013,3.54,1.88,25.38,60.82,0.36,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0025,W003,3.58,1.91,26.05,62.30,0.36,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0039,W001,3.92,1.72,24.28,57.88,0.36,OOC,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0014,W004,3.66,1.93,25.99,56.45,0.36,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0025,W015,3.54,2.04,31.12,62.37,0.36,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0009,W020,3.41,1.97,24.56,57.25,0.37,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0029,W014,3.77,1.85,26.07,59.36,0.37,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0025,W016,3.60,1.98,25.52,58.83,0.37,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0043,W016,3.75,1.78,30.27,57.52,0.37,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0039,W016,3.74,1.75,26.36,63.28,0.37,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0029,W024,3.60,1.77,30.69,61.89,0.37,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0039,W002,3.64,1.72,26.48,60.03,0.37,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0021,W011,3.65,1.92,27.57,59.22,0.37,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0004,W024,3.48,2.09,27.31,61.86,0.37,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0021,W004,3.49,1.87,27.91,63.42,0.37,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0021,W017,3.60,1.95,30.11,56.71,0.37,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0004,W018,3.54,2.14,26.56,59.37,0.37,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0029,W021,3.68,1.95,26.83,63.17,0.37,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0005,W009,3.56,2.00,28.10,60.52,0.37,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0043,W010,3.68,1.92,32.51,60.64,0.37,IN_CONTROL,IN_CONTROL,WARNING,IN_CONTROL
"14nm",LOT_0009,W011,3.50,1.99,31.31,59.27,0.37,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0013,W025,3.54,2.05,28.13,62.72,0.38,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0025,W005,3.75,1.89,27.33,59.01,0.38,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0025,W017,3.58,1.83,27.39,62.70,0.38,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0013,W021,3.68,1.82,26.83,59.34,0.38,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0004,W009,3.45,1.93,26.53,60.61,0.38,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0043,W005,3.76,1.56,29.28,52.35,0.38,IN_CONTROL,WARNING,IN_CONTROL,WARNING
"14nm",LOT_0021,W007,3.51,2.02,27.53,64.77,0.39,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0004,W006,3.39,1.88,27.27,57.52,0.39,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0013,W004,3.62,1.88,29.21,62.39,0.39,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0029,W022,3.66,1.74,24.50,65.41,0.39,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0029,W010,3.48,1.94,28.88,59.86,0.39,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0013,W015,3.53,2.10,31.91,59.82,0.39,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0009,W004,3.50,1.79,30.37,57.42,0.39,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0014,W014,3.57,1.92,26.66,57.07,0.39,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0029,W025,3.59,1.95,28.13,58.61,0.39,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0029,W007,3.55,1.66,26.24,62.29,0.39,IN_CONTROL,WARNING,IN_CONTROL,IN_CONTROL
"14nm",LOT_0013,W006,3.60,2.05,24.18,58.35,0.39,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0043,W022,3.84,1.57,28.71,57.48,0.40,WARNING,WARNING,IN_CONTROL,IN_CONTROL
"14nm",LOT_0009,W023,3.40,1.72,28.35,58.00,0.40,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0021,W014,3.70,1.96,27.94,61.00,0.40,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0025,W004,3.60,1.90,25.82,60.76,0.40,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0013,W003,3.69,1.81,29.67,58.20,0.40,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0043,W017,3.73,1.84,28.62,64.08,0.40,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0021,W020,3.68,1.81,32.55,61.01,0.40,IN_CONTROL,IN_CONTROL,WARNING,IN_CONTROL
"14nm",LOT_0043,W020,3.80,1.84,29.48,58.44,0.40,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0029,W011,3.57,1.75,28.72,61.25,0.40,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0014,W007,3.50,2.02,30.61,55.26,0.40,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0021,W021,3.53,1.86,27.63,55.48,0.40,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0025,W020,3.65,1.71,25.48,60.55,0.40,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0005,W001,3.57,1.91,29.72,62.86,0.40,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0005,W004,3.62,2.13,24.33,59.92,0.41,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0005,W012,3.50,1.83,29.10,58.26,0.41,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0009,W009,3.51,2.09,27.23,56.70,0.41,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0043,W006,3.69,1.99,26.95,58.96,0.41,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0005,W005,3.49,1.86,28.39,62.55,0.41,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0014,W020,3.47,1.91,28.73,54.18,0.41,IN_CONTROL,IN_CONTROL,IN_CONTROL,WARNING
"14nm",LOT_0013,W023,3.67,1.93,27.91,57.22,0.41,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0043,W007,3.60,1.68,24.70,57.92,0.41,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0014,W011,3.69,1.92,27.38,64.64,0.42,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0014,W005,3.65,1.93,25.73,56.90,0.42,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0013,W012,3.50,1.89,27.59,57.68,0.42,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0021,W009,3.69,1.75,27.39,58.21,0.42,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0039,W015,3.55,1.76,29.68,63.86,0.42,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0013,W019,3.51,2.08,29.55,59.53,0.42,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0021,W003,3.58,2.14,27.51,56.40,0.42,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0004,W022,3.49,2.04,28.74,59.68,0.42,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"14nm",LOT_0005,W017,3.43,1.82,28.92,62.35,0.43,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
